model,layers,prompt,generated_text
2层模型,2,"To be, or not to be","To be, or not to be so;
Which to be too, my heart"
2层模型,2,Once upon a time,"Once upon a time lips and on my soul,
As if it"
2层模型,2,The future of AI,"The future of AI brief hand.

LUCIO:
How shall"
2层模型,2,Love is,"Love is the safe.

POMPEY:
Peace, sir"
2层模型,2,In the beginning,"In the beginning his barroad,
And with his tim"
4层模型,4,"To be, or not to be","To be, or not to be the court.

POLIXENES:
How! w"
4层模型,4,Once upon a time,"Once upon a time that they would not weep.

FR"
4层模型,4,The future of AI,"The future of AI are not the false spirits
To "
4层模型,4,Love is,Love is not you of your conscience sh
4层模型,4,In the beginning,"In the beginning of sometimes of the fight:
An"
6层模型(3轮),6,"To be, or not to be","To be, or not to be but a man:
Beshrew my heart, "
6层模型(3轮),6,Once upon a time,"Once upon a time made by a stratagems.

GLOUCE"
6层模型(3轮),6,The future of AI,The future of AI give him all night to the fie
6层模型(3轮),6,Love is,"Love is her come to me, when he being"
6层模型(3轮),6,In the beginning,"In the beginning to my brother's soul!

QUEEN "
6层模型(5轮),6,"To be, or not to be","To be, or not to be so long.

HENRY BOLINGBROKE:
"
6层模型(5轮),6,Once upon a time,"Once upon a time would speak to your grace,
Or"
6层模型(5轮),6,The future of AI,"The future of AIfidius protected state
I am he"
6层模型(5轮),6,Love is,"Love is the side of warm
Becomes so s"
6层模型(5轮),6,In the beginning,"In the beginning but they to the deep.

KING R"
